Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,0.0,0.0,-1.0,249.772,167.195,0.0,0.0,0.0,82.5763,0,0.0,4.62137,0.0,6559
1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
2,0.0,0.0,-1.0,460.741,359.447,0.0,0.0,0.0,101.294,0,0.0,8.27119,0.0,12068
3,0.0,0.0,-1.0,92.4735,0.0,0.0,0.0,0.0,92.4735,0,0.0,1.72541,0.0,2393
4,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
7,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
8,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
9,0.0,0.0,-1.0,145.08,43.0593,0.0,0.0,0.0,102.02,0,0.0,2.7155,0.0,3782
10,0.0,0.0,-1.0,662.0,431.957,0.0,0.0,21.8227,81.5806,0,0.0,12.2754,126.64,17487
11,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
12,0.0,0.0,-1.0,258.118,165.001,0.0,0.0,0.0,93.117,0,0.0,4.60228,0.0,6745
13,0.0,0.0,-1.0,662.0,401.524,0.0,0.0,0.0,197.156,0,0.0,12.4738,63.32,17802
14,0.0,0.0,-1.0,662.0,496.647,0.0,0.0,0.0,102.033,0,0.0,12.2797,63.32,17449
15,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
16,0.0,0.0,-1.0,108.109,6.98093,0.0,0.0,0.0,101.128,0,0.0,1.99356,0.0,2872
17,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
18,0.0,0.0,-1.0,662.0,559.205,0.0,0.0,0.0,39.4746,0,0.0,12.2703,63.32,17418
19,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
20,0.0,0.0,-1.0,121.036,0.0,0.0,0.0,0.0,121.036,0,0.0,2.175,0.0,3158
21,0.0,0.0,-1.0,190.616,89.4718,0.0,0.0,0.0,101.144,0,0.0,3.37979,0.0,5002
22,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
23,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
24,0.0,0.0,-1.0,662.0,295.661,0.0,0.0,0.0,100.513,0,254.95,12.1512,10.876,17445
25,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
26,0.0,0.0,-1.0,68.411,0.0,0.0,0.0,0.0,68.411,0,0.0,1.30238,0.0,1795
27,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
28,0.0,0.0,-1.0,662.0,336.697,0.0,0.0,0.0,261.983,0,0.0,12.1074,63.32,17285
29,0.0,0.0,-1.0,662.0,497.416,0.0,0.0,0.0,101.264,0,0.0,12.369,63.32,17288
30,0.0,0.0,-1.0,292.169,198.564,0.0,0.0,0.0,93.605,0,0.0,5.65082,0.0,7668
