Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
0,0.0,0.0,-1.0,249.772,167.189,0,0.0,0.0,82.5831,0,0.0,1.11974,0.0,7841,8244
1,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
2,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
3,0.0,0.0,-1.0,92.4735,0.0,0,0.0,0.0,92.4735,0,0.0,0.468837,0.0,2883,3051
4,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
5,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
6,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
7,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
8,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
9,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
10,0.0,0.0,-1.0,662.0,221.939,0,0.0,0.0,82.0799,0,294.661,3.19505,63.32,20725,21873
11,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
12,0.0,0.0,-1.0,258.118,157.115,0,0.0,0.0,101.003,0,0.0,1.06762,0.0,8141,8524
13,0.0,0.0,-1.0,662.0,397.664,0,0.0,0.0,201.016,0,0.0,2.93984,63.32,20808,21869
14,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
15,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
16,0.0,0.0,-1.0,108.109,6.15894,0,0.0,0.0,101.95,0,0.0,0.501746,0.0,3388,3568
17,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
18,0.0,0.0,-1.0,662.0,497.144,0,0.0,0.0,101.536,0,0.0,3.0715,63.32,20755,21862
19,0.0,0.0,-1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
