Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
0,-0.000692303,-0.000337432,-1.0,2022.88,1746.05,0,276.826,0.0,0.0,0.0,0.0,68.4505,0.0,2590,20665
1,-0.00172975,-0.002761,-0.999995,2486.7,2036.41,0,450.287,0.0,0.0,0.0,0.0,81.1057,0.0,3902,25289
2,-6.30873e-05,6.41538e-06,-1.0,3077.2,2174.38,0,334.12,0.0,139.975,428.734,0.0,105.055,0.0,3845,31483
3,-9.75094e-05,-0.000114842,-1.0,2692.22,2365.55,0,326.676,0.0,0.0,0.0,0.0,90.354,0.0,3420,27418
4,-0.000344839,0.000211389,-1.0,2077.94,1764.22,0,313.723,0.0,0.0,0.0,0.0,70.0145,0.0,2696,21202
5,-8.34462e-06,0.000468501,-1.0,2103.19,1727.26,0,375.924,0.0,0.0,0.0,0.0,71.8573,0.0,2628,21528
6,-9.33391e-05,-4.60573e-05,-1.0,2742.97,2314.77,0,171.818,0.0,134.569,121.811,0.0,92.4227,0.0,3478,27899
7,0.000602594,-0.000303873,-1.0,2354.8,2000.12,0,354.677,0.0,0.0,0.0,0.0,79.3003,0.0,3045,23985
8,-0.000285114,-0.000653561,-1.0,2360.44,2064.51,0,295.933,0.0,0.0,0.0,0.0,78.5198,0.0,3259,24034
9,0.00103508,0.00123789,-0.999999,2873.92,2024.8,0,258.825,0.0,295.751,294.541,0.0,97.1612,0.0,3664,29292
10,-0.000309546,0.00106134,-0.999999,2324.22,2074.1,0,250.122,0.0,0.0,0.0,0.0,78.6704,0.0,2918,23694
11,-0.00073464,-0.000154956,-1.0,2006.65,1701.24,0,305.412,0.0,0.0,0.0,0.0,67.1847,0.0,2700,20525
12,-0.000812202,0.000529169,-1.0,2224.11,1975.41,0,248.701,0.0,0.0,0.0,0.0,74.8365,0.0,2970,22711
13,-0.00055171,-8.97654e-05,-1.0,2479.9,2228.77,0,251.125,0.0,0.0,0.0,0.0,84.3596,0.0,3051,25229
14,0.00103461,-6.95304e-05,-0.999999,2429.0,2182.87,0,246.129,0.0,0.0,0.0,0.0,82.2205,0.0,2968,24688
15,-2.91852e-05,0.000546945,-1.0,1932.57,1645.04,0,287.531,0.0,0.0,0.0,0.0,65.8861,0.0,2399,19796
16,-0.000495013,-0.000308173,-1.0,2512.44,2108.82,0,403.624,0.0,0.0,0.0,0.0,85.1855,0.0,3136,25586
17,-0.000886902,0.000708965,-0.999999,2106.38,1739.9,0,366.48,0.0,0.0,0.0,0.0,71.441,0.0,2695,21523
18,-8.01338e-05,-0.000434003,-1.0,2472.56,1592.48,0,399.809,0.0,147.767,332.511,0.0,83.9241,0.0,3094,25201
19,-0.000241853,-0.000122585,-1.0,2283.05,1843.79,0,439.258,0.0,0.0,0.0,0.0,77.0587,0.0,2933,23264
20,-0.00031239,-0.000657655,-1.0,2410.24,2019.54,0,313.013,0.0,0.0,77.6909,0.0,81.7112,0.0,3017,24619
21,0.000426753,0.000185584,-1.0,1890.42,1630.25,0,260.173,0.0,0.0,0.0,0.0,64.2551,0.0,2401,19370
22,5.74481e-05,0.000294998,-1.0,2171.29,1908.13,0,263.16,0.0,0.0,0.0,0.0,73.7047,0.0,2760,22185
