Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
0,-0.000692303,-0.000337432,-1.0,2199.63,1930.12,0,269.505,0.0,0.0,0.0,0.0,74.4318,0.0,2744,22411
1,-0.00172975,-0.002761,-0.999995,2070.61,1778.81,0,291.795,0.0,0.0,0.0,0.0,70.7646,0.0,2521,21160
2,-6.30873e-05,6.41538e-06,-1.0,2246.44,1980.09,0,266.356,0.0,0.0,0.0,0.0,76.0175,0.0,2844,22953
3,-9.75094e-05,-0.000114842,-1.0,2345.99,2071.43,0,274.558,0.0,0.0,0.0,0.0,79.417,0.0,2931,23935
4,-0.000344839,0.000211389,-1.0,2288.4,2006.7,0,281.697,0.0,0.0,0.0,0.0,76.5416,0.0,3080,23315
5,-8.34462e-06,0.000468501,-1.0,1880.91,1602.11,0,278.802,0.0,0.0,0.0,0.0,64.7576,0.0,2282,19281
6,-9.33391e-05,-4.60573e-05,-1.0,1969.23,1589.42,0,379.817,0.0,0.0,0.0,0.0,66.4147,0.0,2636,20151
7,0.000602594,-0.000303873,-1.0,2610.06,2301.11,0,308.954,0.0,0.0,0.0,0.0,87.6569,0.0,3365,26520
8,-0.000285114,-0.000653561,-1.0,2255.04,1942.92,0,312.111,0.0,0.0,0.0,0.0,76.5447,0.0,2820,22956
9,0.00103508,0.00123789,-0.999999,2319.38,1508.13,0,409.95,0.0,145.003,256.303,0.0,78.4651,0.0,2982,23663
10,-0.000309546,0.00106134,-0.999999,2210.03,1932.4,0,277.627,0.0,0.0,0.0,0.0,75.0664,0.0,2654,22535
11,-0.00073464,-0.000154956,-1.0,2365.75,2103.15,0,262.598,0.0,0.0,0.0,0.0,80.2946,0.0,2936,24151
12,-0.000812202,0.000529169,-1.0,2258.37,1880.2,0,378.17,0.0,0.0,0.0,0.0,76.8221,0.0,2837,23056
13,-0.00055171,-8.97654e-05,-1.0,2325.69,2030.01,0,295.683,0.0,0.0,0.0,0.0,77.8327,0.0,3130,23688
14,0.00103461,-6.95304e-05,-0.999999,2370.86,2092.14,0,278.72,0.0,0.0,0.0,0.0,79.2577,0.0,3322,24110
15,-2.91852e-05,0.000546945,-1.0,1948.44,1705.21,0,243.229,0.0,0.0,0.0,0.0,65.9324,0.0,2625,19924
16,-0.000495013,-0.000308173,-1.0,2027.7,1777.81,0,249.885,0.0,0.0,0.0,0.0,69.4118,0.0,2372,20721
17,-0.000886902,0.000708965,-0.999999,1958.25,1699.52,0,258.734,0.0,0.0,0.0,0.0,66.5929,0.0,2440,20035
18,-8.01338e-05,-0.000434003,-1.0,2358.79,1551.96,0,325.864,24.2899,123.873,332.511,0.0,80.3102,0.288,2936,24033
19,-0.000241853,-0.000122585,-1.0,2034.52,1724.5,0,310.014,0.0,0.0,0.0,0.0,68.5694,0.0,2691,20779
20,-0.00031239,-0.000657655,-1.0,2572.03,2359.37,0,212.656,0.0,0.0,0.0,0.0,87.4855,0.0,3105,26163
21,0.000426753,0.000185584,-1.0,2022.36,1766.11,0,256.247,0.0,0.0,0.0,0.0,67.7687,0.0,2843,20710
22,5.74481e-05,0.000294998,-1.0,2298.58,1995.88,0,302.7,0.0,0.0,0.0,0.0,77.4473,0.0,2998,23419
23,0.000456398,-0.000520986,-1.0,2754.83,2464.2,0,290.631,0.0,0.0,0.0,0.0,92.8202,0.0,3407,27946
24,-0.000799127,-0.000603116,-0.999999,2169.09,1912.67,0,256.414,0.0,0.0,0.0,0.0,73.5166,0.0,2758,22113
25,0.000556332,0.000102142,-1.0,2006.3,1648.71,0,357.588,0.0,0.0,0.0,0.0,68.1804,0.0,2505,20492
26,-4.21385e-05,-0.000175411,-1.0,1924.26,1648.85,0,275.409,0.0,0.0,0.0,0.0,64.9912,0.0,2453,19693
27,-0.000210545,0.000974612,-1.0,2234.91,1977.16,0,257.754,0.0,0.0,0.0,0.0,74.8331,0.0,2930,22810
28,0.000432228,0.000162018,-1.0,2219.98,1983.86,0,236.119,0.0,0.0,0.0,0.0,75.2127,0.0,2783,22629
29,0.000308158,-1.62478e-05,-1.0,2590.62,1780.55,0,399.193,0.0,149.003,75.9225,185.956,88.6846,0.0,3082,26470
30,-0.000245157,0.000444782,-1.0,2088.11,1783.33,0,304.788,0.0,0.0,0.0,0.0,70.693,0.0,2633,21318
31,-0.00062247,-9.65885e-05,-1.0,2540.84,1917.81,0,143.034,0.0,148.314,114.562,217.12,85.9088,0.0,3303,25938
32,-0.00021233,-0.000148906,-1.0,2641.02,1882.41,0,106.433,0.0,148.994,70.7926,432.394,88.1934,0.0,3711,26955
33,0.000269213,0.0009779,-0.999999,2345.82,1995.09,0,350.728,0.0,0.0,0.0,0.0,79.9198,0.0,2826,23904
34,0.000152725,-0.00111087,-0.999999,1919.67,1616.93,0,302.735,0.0,0.0,0.0,0.0,65.2044,0.0,2366,19634
35,0.000212112,-0.000277587,-1.0,2299.42,1987.53,0,311.89,0.0,0.0,0.0,0.0,78.1245,0.0,2808,23426
36,2.50559e-05,0.000439895,-1.0,2152.64,1874.97,0,277.671,0.0,0.0,0.0,0.0,73.0712,0.0,2725,21946
37,-0.000479252,-0.00163015,-0.999999,2992.27,2605.0,0,14.053,0.0,113.476,259.745,0.0,101.333,0.0,3700,30402
38,0.00064399,0.000144073,-1.0,2779.22,1854.77,0,321.361,0.0,148.916,454.18,0.0,93.9994,0.0,3521,28422
