Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,1849.07,1814.76,0,34.3089,0.0,0.0,0.0,0.0,261.911,0.0,2260
1,1603.33,1565.34,0,37.9903,0.0,0.0,0.0,0.0,219.531,0.0,4081
2,1698.47,1644.16,0,54.3145,0.0,0.0,0.0,0.0,241.22,0.0,2118
3,1695.26,1674.39,0,20.8633,0.0,0.0,0.0,0.0,241.455,0.0,2000
4,1682.79,1657.68,0,25.1099,0.0,0.0,0.0,0.0,237.581,0.0,2432
5,1849.23,1828.91,0,20.3265,0.0,0.0,0.0,0.0,262.611,0.0,2273
6,1707.91,1667.98,0,39.9329,0.0,0.0,0.0,0.0,242.462,0.0,2064
7,1481.4,1438.68,0,42.7193,0.0,0.0,0.0,0.0,210.744,0.0,1891
8,1775.35,1753.4,0,21.954,0.0,0.0,0.0,0.0,249.198,0.0,2794
9,1597.73,1578.62,0,19.1077,0.0,0.0,0.0,0.0,227.371,0.0,2001
10,1733.0,1704.34,0,28.6653,0.0,0.0,0.0,0.0,245.903,0.0,2072
11,1517.09,1496.75,0,20.3318,0.0,0.0,0.0,0.0,214.427,0.0,2135
12,2004.79,1861.81,0,37.8617,0.0,103.48,1.6372,0.0,281.743,0.0,3108
13,1732.61,1698.57,0,34.038,0.0,0.0,0.0,0.0,246.558,0.0,2105
14,1599.59,1574.87,0,24.7172,0.0,0.0,0.0,0.0,227.588,0.0,1924
15,1722.63,1684.04,0,38.5948,0.0,0.0,0.0,0.0,244.66,0.0,2079
16,1541.7,1523.45,0,18.2461,0.0,0.0,0.0,0.0,219.881,0.0,1796
17,2231.52,1996.52,0,94.6312,0.0,106.686,33.6746,0.0,315.024,0.0,3112
18,1690.69,1666.23,0,24.4613,0.0,0.0,0.0,0.0,239.749,0.0,2041
19,1591.62,1573.25,0,18.3687,0.0,0.0,0.0,0.0,225.604,0.0,2206
20,2154.78,1907.26,0,5.60669,0.0,105.711,11.8005,124.406,305.504,0.0,2551
21,1631.19,1609.12,0,22.072,0.0,0.0,0.0,0.0,231.313,0.0,2059
22,1754.4,1728.96,0,25.4399,0.0,0.0,0.0,0.0,248.972,0.0,2224
23,1910.61,1858.94,0,51.6639,0.0,0.0,0.0,0.0,271.1,0.0,2336
24,1481.24,1439.36,0,41.8767,0.0,0.0,0.0,0.0,211.061,0.0,1844
25,1780.06,1760.54,0,19.5237,0.0,0.0,0.0,0.0,252.079,0.0,2233
26,1642.71,1624.58,0,18.1254,0.0,0.0,0.0,0.0,233.942,0.0,1999
27,2629.61,2609.87,0,19.7404,0.0,0.0,0.0,0.0,367.025,0.0,4135
28,2092.65,2065.18,0,27.4652,0.0,0.0,0.0,0.0,297.074,0.0,2309
29,1873.47,1850.5,0,22.9689,0.0,0.0,0.0,0.0,266.358,0.0,2150
30,1997.46,1773.7,0,6.654,0.0,105.019,10.3874,101.7,282.988,0.0,2400
31,1531.69,1508.55,0,23.1406,0.0,0.0,0.0,0.0,217.7,0.0,2098
32,2279.61,1840.66,0,111.953,0.0,103.944,93.4099,129.651,322.614,0.0,2736
33,1886.21,1868.72,0,17.484,0.0,0.0,0.0,0.0,267.411,0.0,2344
34,1859.87,1838.87,0,20.9993,0.0,0.0,0.0,0.0,263.384,0.0,2118
35,1689.25,1661.75,0,27.5013,0.0,0.0,0.0,0.0,240.287,0.0,2004
