Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,2000.67,1961.91,0,38.755,0.0,0.0,0.0,0.0,284.631,0.0,2095
1,1986.18,1933.27,0,52.9092,0.0,0.0,0.0,0.0,281.568,0.0,2320
2,1561.62,1537.67,0,23.9472,0.0,0.0,0.0,0.0,222.483,0.0,1860
3,2004.18,1979.88,0,24.3019,0.0,0.0,0.0,0.0,282.559,0.0,2630
4,2550.2,2309.75,0,66.6842,0.0,100.25,73.5224,0.0,359.641,0.0,3638
5,2106.92,1834.38,0,62.5463,0.0,106.319,103.679,0.0,298.967,0.0,2197
6,1708.89,1674.36,0,34.5296,0.0,0.0,0.0,0.0,240.878,0.0,2553
7,4693.17,3647.86,0,252.525,0.0,202.24,151.478,439.061,660.594,0.0,6412
8,1616.89,1594.22,0,22.676,0.0,0.0,0.0,0.0,230.139,0.0,1823
9,1992.06,1962.92,0,29.1424,0.0,0.0,0.0,0.0,283.243,0.0,2148
10,1555.41,1531.37,0,24.0459,0.0,0.0,0.0,0.0,222.383,0.0,1644
11,1939.18,1770.23,0,60.6709,0.0,106.513,1.76014,0.0,274.785,0.0,2346
12,1728.57,1709.23,0,19.3379,0.0,0.0,0.0,0.0,246.294,0.0,1999
13,2257.1,2008.1,0,77.3646,0.0,106.673,64.9642,0.0,316.955,0.0,3426
14,1904.18,1824.06,0,80.1164,0.0,0.0,0.0,0.0,265.203,0.0,3500
15,1782.01,1758.75,0,23.2521,0.0,0.0,0.0,0.0,252.583,0.0,2481
16,1880.66,1810.31,0,70.3492,0.0,0.0,0.0,0.0,267.21,0.0,2018
17,1542.0,1507.82,0,34.1712,0.0,0.0,0.0,0.0,219.971,0.0,1705
18,2075.53,2046.34,0,29.1847,0.0,0.0,0.0,0.0,294.189,0.0,2372
19,1568.15,1546.98,0,21.1698,0.0,0.0,0.0,0.0,221.574,0.0,2329
20,1926.32,1899.77,0,26.5438,0.0,0.0,0.0,0.0,274.832,0.0,2092
21,1870.84,1851.1,0,19.7351,0.0,0.0,0.0,0.0,261.203,0.0,3267
22,2302.23,1685.48,0,117.859,0.0,0.0,22.4029,476.489,323.63,0.0,3369
23,1869.78,1845.22,0,24.5568,0.0,0.0,0.0,0.0,266.092,0.0,2130
24,1884.3,1860.72,0,23.5766,0.0,0.0,0.0,0.0,267.104,0.0,2228
25,1603.55,1575.13,0,28.4196,0.0,0.0,0.0,0.0,229.356,0.0,1738
26,1737.26,1711.39,0,25.8699,0.0,0.0,0.0,0.0,245.993,0.0,2152
27,1656.4,1636.34,0,20.0674,0.0,0.0,0.0,0.0,234.888,0.0,2263
28,1810.6,1764.38,0,46.2153,0.0,0.0,0.0,0.0,257.335,0.0,2169
29,1773.64,1750.64,0,23.0051,0.0,0.0,0.0,0.0,252.556,0.0,1889
30,1715.02,1692.28,0,22.7483,0.0,0.0,0.0,0.0,243.077,0.0,2142
31,2162.16,2137.99,0,24.1693,0.0,0.0,0.0,0.0,304.14,0.0,3036
32,2399.74,1987.44,0,112.423,0.0,103.469,93.4099,102.996,333.937,0.0,4255
33,1516.35,1495.85,0,20.4996,0.0,0.0,0.0,0.0,217.305,0.0,1619
34,1781.21,1753.55,0,27.6612,0.0,0.0,0.0,0.0,253.554,0.0,1942
35,1738.38,1718.71,0,19.6729,0.0,0.0,0.0,0.0,247.783,0.0,1904
36,1686.74,1665.72,0,21.0199,0.0,0.0,0.0,0.0,238.85,0.0,2145
37,2298.27,2274.69,0,23.5825,0.0,0.0,0.0,0.0,325.484,0.0,2666
38,1511.26,1486.67,0,24.5878,0.0,0.0,0.0,0.0,215.104,0.0,1796
39,1726.5,1699.14,0,27.3625,0.0,0.0,0.0,0.0,244.237,0.0,2076
40,1996.46,1973.37,0,23.0919,0.0,0.0,0.0,0.0,284.529,0.0,2118
41,1563.13,1483.68,0,79.4522,0.0,0.0,0.0,0.0,223.152,0.0,1772
42,1600.48,1571.23,0,29.2576,0.0,0.0,0.0,0.0,228.528,0.0,1918
43,1716.86,1693.88,0,22.9752,0.0,0.0,0.0,0.0,244.383,0.0,1924
44,1513.21,1493.39,0,19.8254,0.0,0.0,0.0,0.0,215.732,0.0,1729
45,1607.57,1591.02,0,16.5531,0.0,0.0,0.0,0.0,228.182,0.0,2127
46,1659.96,1641.47,0,18.4863,0.0,0.0,0.0,0.0,236.303,0.0,1797
47,1641.69,1464.42,0,177.272,0.0,0.0,0.0,0.0,233.053,0.0,1982
