Event,Px,Py,Pz,Tot-OpAbs,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons,NOfScintPhotons
0,0.0966128,0.71337,-0.694096,2976.88,2830.26,0.0,146.621,0.0,0.0,0.0,0.0,95.1127,0.0,5234,30409
1,0.995937,0.00615144,-0.0898448,9640.95,9409.62,0.0,231.331,0.0,0.0,0.0,0.0,313.359,0.0,15496,98306
2,-0.919374,-0.330741,0.212983,10799.8,9266.48,0.0,556.219,0.0,231.399,745.671,0.0,350.129,0.0,17562,109887
3,-0.688242,0.368735,0.624785,3296.98,2507.96,0.0,305.542,0.0,0.0,294.235,189.245,106.204,0.0,5659,33727
4,0.881342,0.323009,0.344819,5281.98,5116.3,0.0,165.681,0.0,0.0,0.0,0.0,171.315,0.0,8756,54036
5,0.66669,-0.0914209,-0.739707,3319.5,2308.05,0.0,388.759,0.0,129.815,492.878,0.0,105.099,0.0,6147,33889
6,0.0464689,0.688192,0.724039,2581.91,2198.94,0.0,382.974,0.0,0.0,0.0,0.0,82.8436,0.0,4616,26430
7,0.195124,-0.912351,0.359919,5627.59,5474.65,0.0,152.943,0.0,0.0,0.0,0.0,181.755,0.0,9390,57402
8,0.858508,-0.457847,-0.230955,8493.02,7074.8,0.0,112.198,0.0,265.146,887.269,153.605,275.736,0.0,13744,86630
9,0.765874,0.125147,-0.630694,3318.73,2929.97,0.0,388.753,0.0,0.0,0.0,0.0,106.671,0.0,5776,33871
10,-0.272489,-0.718539,-0.639884,4108.84,2984.58,0.0,221.255,0.0,282.653,309.143,311.206,131.359,0.0,7125,41896
11,0.350632,-0.935883,0.0343639,10738.0,9824.76,0.0,450.117,0.0,148.973,314.105,0.0,349.761,0.0,17077,109423
12,0.647086,-0.758631,-0.0758849,10646.7,10118.4,0.0,528.232,0.0,0.0,0.0,0.0,345.128,0.0,17199,108261
13,0.168893,0.720257,0.672834,3207.78,2917.08,0.0,290.697,0.0,0.0,0.0,0.0,102.321,0.0,5626,32732
14,0.14259,0.128571,0.981396,2248.62,1937.77,0.0,310.844,0.0,0.0,0.0,0.0,67.2101,0.0,5110,22914
15,-0.113644,-0.564668,0.817456,2652.12,2341.58,0.0,310.548,0.0,0.0,0.0,0.0,84.3024,0.0,4828,27096
16,-0.0917126,0.519901,-0.849289,2275.1,2153.82,0.0,121.281,0.0,0.0,0.0,0.0,71.9009,0.0,4215,23296
17,0.906903,0.100599,-0.409153,5744.63,4441.49,0.0,294.538,0.0,148.133,164.779,695.686,186.226,0.0,9577,58805
18,-0.693788,0.713965,-0.0944038,12296.9,9897.37,0.0,609.358,0.0,440.029,992.314,357.784,399.583,0.0,19696,125285
19,0.660155,-0.639587,0.393856,5243.43,4239.02,0.0,226.799,0.0,0.0,488.744,288.862,169.957,0.0,8711,53561
20,0.328799,0.000507931,-0.9444,2987.75,1850.87,0.0,469.488,0.0,148.716,518.672,0.0,92.8134,0.0,5935,30431
21,0.631916,-0.398046,0.665012,2763.05,2561.52,0.0,201.526,0.0,0.0,0.0,0.0,89.0287,0.0,4862,28285
22,0.179007,0.667756,0.722537,2731.98,2679.4,0.0,52.5807,0.0,0.0,0.0,0.0,87.0725,0.0,5003,27984
