Event,Px,Py,Pz,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,0.0965495,0.712942,-0.694544,4193.87,4175.31,0,18.5601,0.0,0.0,0.0,0.0,571.603,0.0,9595
1,0.995836,0.00377503,-0.0910829,9172.14,8935.12,0,237.027,0.0,0.0,0.0,0.0,1284.56,0.0,12562
2,-0.919385,-0.330751,0.212921,10210.4,8909.75,0,354.237,0.0,211.375,597.614,137.451,1426.26,0.0,14535
3,-0.688242,0.36885,0.624718,5423.96,4648.09,0,263.748,0.0,90.9326,421.189,0.0,741.32,0.0,11766
4,0.881483,0.323203,0.34428,7465.06,6678.58,0,98.7162,0.0,255.523,262.592,169.644,1033.07,0.0,13396
5,0.66669,-0.0914209,-0.739707,4457.84,4121.92,0,335.923,0.0,0.0,0.0,0.0,609.897,0.0,9113
6,0.0464689,0.688192,0.724039,4829.46,4424.33,0,116.34,0.0,0.0,243.44,45.3487,658.283,0.0,10661
7,0.195075,-0.912177,0.360388,6555.96,6083.56,0,472.401,0.0,0.0,0.0,0.0,906.79,0.0,11425
8,0.858281,-0.458169,-0.23116,7208.63,7107.39,0,101.24,0.0,0.0,0.0,0.0,1007.78,0.0,10763
9,0.765874,0.125147,-0.630694,5195.07,4522.0,0,240.657,0.0,106.691,325.722,0.0,713.886,0.0,10347
10,-0.271556,-0.718707,-0.640092,4796.57,4770.96,0,25.6135,0.0,0.0,0.0,0.0,654.488,0.0,10381
11,0.350498,-0.935959,0.0336398,8984.7,8830.63,0,154.074,0.0,0.0,0.0,0.0,1261.33,0.0,12052
12,0.646678,-0.758939,-0.0762828,12109.1,11679.2,0,131.705,0.0,95.1414,203.078,0.0,1703.63,0.0,15078
13,0.168791,0.720592,0.672501,4134.4,3795.38,0,339.023,0.0,0.0,0.0,0.0,565.407,0.0,8856
14,0.141978,0.127937,0.981567,2950.89,2828.02,0,122.871,0.0,0.0,0.0,0.0,379.786,0.0,12544
15,-0.113644,-0.564668,0.817456,3769.47,3503.02,0,266.454,0.0,0.0,0.0,0.0,510.601,0.0,9102
16,-0.0917126,0.519901,-0.849289,3584.57,3338.93,0,245.638,0.0,0.0,0.0,0.0,482.465,0.0,9727
17,0.906903,0.100599,-0.409153,6194.11,5655.81,0,282.001,0.0,69.5225,186.777,0.0,857.398,0.0,10953
18,-0.693788,0.713965,-0.0944038,9622.36,9592.57,0,4.21351,0.0,14.7015,0.0,10.8779,1352.36,0.0,12631
19,0.66014,-0.639728,0.393654,7230.74,5943.34,0,48.5797,0.0,106.138,435.92,696.758,1000.33,0.0,12736
20,0.328799,0.000507931,-0.9444,3075.72,2860.58,0,215.139,0.0,0.0,0.0,0.0,407.492,0.0,9958
21,0.631916,-0.398046,0.665012,4464.61,4272.05,0,192.558,0.0,0.0,0.0,0.0,610.661,0.0,9422
22,0.179007,0.667756,0.722537,5320.94,4119.85,0,421.965,0.0,170.088,150.732,458.299,729.618,0.0,11302
23,-0.864858,0.488449,-0.115922,6999.3,6995.16,0,4.13692,0.0,0.0,0.0,0.0,978.421,0.0,9953
24,-0.444989,-0.890827,0.0917201,10444.6,9988.32,0,36.4912,0.0,106.69,281.708,31.4045,1463.85,0.0,13941
25,0.595889,-0.542693,-0.591946,5271.0,4963.34,0,307.668,0.0,0.0,0.0,0.0,721.244,0.0,10884
26,-0.563735,-0.79429,0.22651,9213.14,8332.35,0,248.158,0.0,0.0,283.915,348.717,1291.05,0.0,12860
27,0.941853,-0.193553,0.274683,10913.2,9591.0,0,317.187,65.2157,292.827,537.788,109.166,1517.37,0.0,17379
28,-0.227814,0.0780691,0.97057,3392.71,3113.61,0,134.097,0.0,106.522,38.4762,0.0,448.466,0.0,11426
29,-0.539707,0.189142,-0.82033,3399.99,3097.43,0,302.562,0.0,0.0,0.0,0.0,461.516,0.0,8282
30,-0.713133,0.685349,0.147438,7642.66,7190.6,0,111.828,0.0,106.532,21.6505,212.049,1072.71,0.0,10140
31,0.637201,-0.657428,0.402198,6741.36,6504.56,0,236.8,0.0,0.0,0.0,0.0,931.921,0.0,11963
