Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,1675.63,1650.12,0,25.5073,0.0,0.0,0.0,0.0,220.483,0.0,6624
1,1886.63,1831.84,0,54.7873,0.0,0.0,0.0,0.0,241.632,0.0,9008
2,1828.57,1803.88,0,24.6932,0.0,0.0,0.0,0.0,239.582,0.0,7430
3,1695.54,1679.1,0,16.4353,0.0,0.0,0.0,0.0,222.003,0.0,6985
4,4135.82,3745.29,0,274.999,0.0,0.0,115.529,0.0,543.422,0.0,16881
5,1673.69,1643.59,0,30.1014,0.0,0.0,0.0,0.0,218.199,0.0,7188
6,1804.98,1776.63,0,28.3497,0.0,0.0,0.0,0.0,235.947,0.0,7720
7,1629.55,1604.48,0,25.071,0.0,0.0,0.0,0.0,212.364,0.0,7166
8,1678.26,1657.8,0,20.4601,0.0,0.0,0.0,0.0,220.393,0.0,6730
9,1715.25,1692.74,0,22.5075,0.0,0.0,0.0,0.0,224.835,0.0,6916
10,1703.8,1678.56,0,25.2439,0.0,0.0,0.0,0.0,222.016,0.0,7199
11,1604.94,1549.5,0,55.4394,0.0,0.0,0.0,0.0,207.118,0.0,7613
12,1626.24,1597.68,0,28.562,0.0,0.0,0.0,0.0,213.016,0.0,6873
13,1943.17,1583.0,0,13.2364,0.0,0.0,10.7967,336.135,237.41,0.0,12379
14,1828.76,1804.17,0,24.5925,0.0,0.0,0.0,0.0,239.38,0.0,7465
15,2322.38,2277.24,0,45.1358,0.0,0.0,0.0,0.0,302.865,0.0,9592
16,1608.24,1587.91,0,20.3276,0.0,0.0,0.0,0.0,209.685,0.0,7079
17,1712.25,1558.97,0,114.809,0.0,0.0,38.4752,0.0,215.874,0.0,9408
18,1612.22,1585.7,0,26.5189,0.0,0.0,0.0,0.0,211.277,0.0,6784
19,1619.62,1598.88,0,20.7348,0.0,0.0,0.0,0.0,212.054,0.0,6764
20,1847.82,1826.6,0,21.2162,0.0,0.0,0.0,0.0,234.49,0.0,9696
21,1650.33,1632.28,0,18.0458,0.0,0.0,0.0,0.0,216.305,0.0,6861
22,2888.45,2257.56,0,89.7162,0.0,105.907,57.1518,378.123,383.862,0.0,10077
23,1768.54,1747.37,0,21.1659,0.0,0.0,0.0,0.0,230.232,0.0,7410
24,1745.94,1726.08,0,19.8534,0.0,0.0,0.0,0.0,230.072,0.0,6776
25,1651.28,1632.45,0,18.8359,0.0,0.0,0.0,0.0,215.077,0.0,7165
26,2353.01,2104.53,0,97.4675,0.0,92.1377,58.8648,0.0,313.709,0.0,8188
27,4268.56,4100.05,0,14.1481,41.2764,105.851,7.2394,0.0,583.289,0.0,11301
28,2223.45,2093.86,0,17.4254,0.0,106.668,5.49236,0.0,294.065,0.0,8301
29,3184.29,3017.48,0,77.3783,0.0,0.0,89.4341,0.0,420.278,0.0,12088
30,2811.05,2363.9,0,23.6253,2.61734,103.983,153.758,163.172,372.75,0.0,10134
31,1982.51,1961.8,0,20.7111,0.0,0.0,0.0,0.0,258.107,0.0,8351
32,1817.52,1654.76,0,119.562,0.0,0.0,43.1924,0.0,230.318,0.0,9455
33,1962.45,1941.2,0,21.2583,0.0,0.0,0.0,0.0,257.208,0.0,8129
34,1705.91,1681.21,0,24.6982,0.0,0.0,0.0,0.0,222.94,0.0,7187
35,1721.69,1698.06,0,23.6315,0.0,0.0,0.0,0.0,226.275,0.0,6817
36,1883.5,1860.43,0,23.0743,0.0,0.0,0.0,0.0,241.353,0.0,9011
37,1668.13,1649.84,0,18.2912,0.0,0.0,0.0,0.0,218.127,0.0,6950
38,1860.44,1835.36,0,25.0791,0.0,0.0,0.0,0.0,244.483,0.0,7529
39,1701.68,1676.84,0,24.8433,0.0,0.0,0.0,0.0,221.371,0.0,7374
40,2268.82,2244.46,0,24.3573,0.0,0.0,0.0,0.0,298.449,0.0,8754
41,1716.35,1694.18,0,22.1689,0.0,0.0,0.0,0.0,223.453,0.0,7446
