Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,1581.23,1546.38,0,34.8482,0.0,0.0,0.0,0.0,225.08,0.0,1850
1,1843.65,1795.6,0,48.0463,0.0,0.0,0.0,0.0,261.107,0.0,2288
2,2067.29,1833.19,0,81.6656,0.0,106.356,46.0742,0.0,292.943,0.0,2489
3,1817.12,1799.71,0,17.4173,0.0,0.0,0.0,0.0,257.433,0.0,2270
4,2864.98,2032.62,0,78.4169,0.0,100.904,46.134,606.906,405.646,0.0,3424
5,1766.5,1742.3,0,24.2033,0.0,0.0,0.0,0.0,250.542,0.0,2197
6,1986.33,1960.59,0,25.7435,0.0,0.0,0.0,0.0,280.955,0.0,2453
7,1759.4,1738.09,0,21.318,0.0,0.0,0.0,0.0,250.434,0.0,2237
8,2055.95,2020.07,0,35.8769,0.0,0.0,0.0,0.0,291.289,0.0,2577
9,2323.71,2191.09,0,22.4168,0.0,105.122,5.07824,0.0,328.733,0.0,2866
10,1694.6,1674.61,0,19.993,0.0,0.0,0.0,0.0,241.176,0.0,2030
11,1914.57,1877.3,0,37.2694,0.0,0.0,0.0,0.0,271.774,0.0,2413
12,2223.19,2202.8,0,20.3889,0.0,0.0,0.0,0.0,314.085,0.0,2771
13,2158.94,2136.77,0,22.1684,0.0,0.0,0.0,0.0,305.687,0.0,2657
14,1792.47,1769.31,0,23.1613,0.0,0.0,0.0,0.0,254.326,0.0,2296
15,2025.15,1982.7,0,42.4541,0.0,0.0,0.0,0.0,286.97,0.0,2498
16,1453.93,1436.78,0,17.1488,0.0,0.0,0.0,0.0,207.863,0.0,1757
17,1537.37,1514.79,0,22.5778,0.0,0.0,0.0,0.0,218.889,0.0,1909
18,1649.56,1626.85,0,22.7051,0.0,0.0,0.0,0.0,234.154,0.0,2025
19,2850.32,2635.74,0,80.1669,0.0,0.0,134.412,0.0,405.051,0.0,3555
20,1541.08,1520.41,0,20.6765,0.0,0.0,0.0,0.0,218.769,0.0,1959
21,2434.99,2156.2,0,135.908,0.0,0.0,121.139,21.7366,345.02,0.0,2937
22,2805.94,2143.23,0,79.3213,0.0,106.629,57.1518,419.61,397.515,0.0,3437
23,1521.4,1500.75,0,20.6498,0.0,0.0,0.0,0.0,216.606,0.0,1796
24,1846.27,1820.8,0,25.4786,0.0,0.0,0.0,0.0,260.879,0.0,2332
25,1530.32,1505.67,0,24.6508,0.0,0.0,0.0,0.0,217.782,0.0,1849
26,1942.58,1890.97,0,51.6058,0.0,0.0,0.0,0.0,275.232,0.0,2294
27,1639.08,1619.93,0,19.1554,0.0,0.0,0.0,0.0,233.438,0.0,1940
28,1702.15,1657.43,0,44.7181,0.0,0.0,0.0,0.0,241.877,0.0,2192
29,1683.45,1662.04,0,21.4119,0.0,0.0,0.0,0.0,238.781,0.0,2063
30,4390.33,4011.13,0,6.37189,0.0,207.82,165.015,0.0,621.905,0.0,5374
31,2037.83,2000.96,0,36.873,0.0,0.0,0.0,0.0,288.036,0.0,2511
32,1509.36,1482.33,0,27.0274,0.0,0.0,0.0,0.0,215.422,0.0,1819
33,1551.28,1529.75,0,21.5273,0.0,0.0,0.0,0.0,220.828,0.0,1880
34,1646.14,1555.99,0,90.1474,0.0,0.0,0.0,0.0,233.668,0.0,2039
35,1867.55,1847.07,0,20.4834,0.0,0.0,0.0,0.0,264.11,0.0,2353
36,2250.79,2121.78,0,123.126,0.0,0.0,5.88436,0.0,319.979,0.0,2762
37,1666.73,1648.45,0,18.2846,0.0,0.0,0.0,0.0,237.186,0.0,2094
38,2232.83,2216.77,0,16.0551,0.0,0.0,0.0,0.0,315.585,0.0,2716
