Event,Tot,Cerenkov,compt,CoupledTransportation,eBrem,eIon,msc,muIoni,OpAbsorption,phot,NOfOptPhotons
0,3094.56,3009.19,0,85.3675,0.0,0.0,0.0,0.0,434.088,0.0,3624
1,2989.09,2908.44,0,80.6499,0.0,0.0,0.0,0.0,403.264,0.0,7776
2,2540.85,2451.67,0,89.1808,0.0,0.0,0.0,0.0,356.803,0.0,3075
3,2993.21,2671.59,0,321.614,0.0,0.0,0.0,0.0,421.815,0.0,3414
4,3454.38,2392.12,0,231.562,0.0,106.682,226.93,497.078,482.472,0.0,4834
5,2819.29,2720.59,0,98.7003,0.0,0.0,0.0,0.0,396.249,0.0,3465
6,2849.18,2766.8,0,82.3829,0.0,0.0,0.0,0.0,400.157,0.0,3331
7,3125.06,2677.29,0,19.4312,0.0,105.547,47.2249,275.574,437.173,0.0,3979
8,2439.76,2346.19,0,93.5749,0.0,0.0,0.0,0.0,339.851,0.0,3808
9,2992.29,2867.72,0,124.567,0.0,0.0,0.0,0.0,419.079,0.0,3714
10,2733.95,2639.09,0,94.8616,0.0,0.0,0.0,0.0,384.684,0.0,3091
11,2493.07,2404.37,0,88.6984,0.0,0.0,0.0,0.0,348.652,0.0,3498
12,3671.99,2935.92,0,238.841,0.0,106.606,193.871,196.753,510.579,0.0,5688
13,3075.25,2549.3,0,272.99,0.0,88.8954,164.069,0.0,431.606,0.0,3690
14,2876.54,2787.94,0,88.5999,0.0,0.0,0.0,0.0,403.516,0.0,3346
15,3131.5,3045.83,0,85.6685,0.0,0.0,0.0,0.0,439.512,0.0,3654
16,2743.82,2652.15,0,91.6647,0.0,0.0,0.0,0.0,385.394,0.0,3122
17,3218.04,2709.35,0,236.318,0.0,106.677,165.694,0.0,448.809,0.0,4527
18,3364.42,2850.91,0,190.573,0.0,106.606,216.329,0.0,472.44,0.0,4016
19,3386.75,2879.47,0,340.844,0.0,106.595,59.8393,0.0,473.614,0.0,4636
20,3485.86,3004.13,0,156.627,0.0,106.668,218.438,0.0,489.366,0.0,4206
21,2660.85,2568.69,0,92.1643,0.0,0.0,0.0,0.0,374.328,0.0,3177
22,3188.94,2932.48,0,148.059,0.0,106.674,1.7209,0.0,447.494,0.0,3844
23,2577.0,2499.53,0,77.4717,0.0,0.0,0.0,0.0,361.634,0.0,3063
24,3102.1,3019.75,0,82.3522,0.0,0.0,0.0,0.0,434.789,0.0,3939
25,2608.17,2524.74,0,83.4254,0.0,0.0,0.0,0.0,366.278,0.0,3220
26,2650.41,2553.89,0,96.5108,0.0,0.0,0.0,0.0,372.305,0.0,3252
27,3382.21,3153.98,0,83.6115,0.0,0.0,60.6917,83.9265,469.919,0.0,5279
28,3454.41,3374.73,0,79.6819,0.0,0.0,0.0,0.0,485.676,0.0,3942
29,2783.61,2592.09,0,191.516,0.0,0.0,0.0,0.0,392.244,0.0,3148
30,2706.14,2612.28,0,93.8613,0.0,0.0,0.0,0.0,379.574,0.0,3265
31,2967.32,2887.15,0,80.1686,0.0,0.0,0.0,0.0,414.471,0.0,3940
32,3422.64,3335.5,0,87.1364,0.0,0.0,0.0,0.0,479.47,0.0,4159
33,2958.74,2865.68,0,93.0635,0.0,0.0,0.0,0.0,413.802,0.0,3761
34,3410.06,2835.3,0,185.764,0.0,93.6027,295.4,0.0,479.114,0.0,3910
35,3009.0,2821.58,0,187.41,0.0,0.0,0.0,0.0,422.351,0.0,3521
36,2660.64,2557.58,0,103.061,0.0,0.0,0.0,0.0,374.329,0.0,3060
37,2965.14,2875.77,0,89.361,0.0,0.0,0.0,0.0,416.984,0.0,3482
38,3388.55,3316.39,0,72.1614,0.0,0.0,0.0,0.0,474.188,0.0,4337
39,3277.05,3087.92,0,14.2552,0.0,92.5666,82.3074,0.0,459.632,0.0,3898
40,3856.31,3794.14,0,62.1673,0.0,0.0,0.0,0.0,540.436,0.0,4490
41,2913.1,2828.71,0,84.3904,0.0,0.0,0.0,0.0,406.018,0.0,4268
42,2562.11,2454.77,0,107.334,0.0,0.0,0.0,0.0,357.403,0.0,3614
43,3407.31,3224.2,0,47.6741,0.0,75.6485,59.7955,0.0,478.591,0.0,4291
44,3165.41,2960.2,0,14.6579,0.0,106.684,83.8675,0.0,444.522,0.0,3746
45,3036.65,2917.78,0,118.871,0.0,0.0,0.0,0.0,425.612,0.0,3688
46,2618.63,2517.78,0,100.843,0.0,0.0,0.0,0.0,368.003,0.0,2989
47,2891.28,2772.45,0,118.83,0.0,0.0,0.0,0.0,395.096,0.0,6234
48,3393.02,2803.28,0,385.743,0.0,106.251,97.7522,0.0,477.271,0.0,3897
49,2431.62,2336.64,0,94.9755,0.0,0.0,0.0,0.0,343.779,0.0,2689
50,2767.34,2645.5,0,121.842,0.0,0.0,0.0,0.0,390.312,0.0,3106
51,3776.78,3000.46,0,343.356,0.0,106.426,326.539,0.0,529.548,0.0,4531
52,2947.12,2841.68,0,105.447,0.0,0.0,0.0,0.0,408.001,0.0,5026
53,2794.23,2707.55,0,86.6829,0.0,0.0,0.0,0.0,392.734,0.0,3324
54,2913.02,2803.18,0,109.841,0.0,0.0,0.0,0.0,408.218,0.0,3697
55,2703.08,2600.77,0,100.079,0.0,0.0,0.0,2.22659,379.763,0.0,3225
56,2588.74,2472.87,0,115.864,0.0,0.0,0.0,0.0,363.382,0.0,3155
57,2726.0,2621.19,0,104.809,0.0,0.0,0.0,0.0,383.246,0.0,3097
58,2977.29,2878.89,0,98.4053,0.0,0.0,0.0,0.0,417.091,0.0,3752
59,3144.69,3072.21,0,72.4849,0.0,0.0,0.0,0.0,441.619,0.0,3794
60,2981.79,2888.03,0,93.7572,0.0,0.0,0.0,0.0,419.518,0.0,3443
61,2715.39,2627.26,0,88.1378,0.0,0.0,0.0,0.0,373.583,0.0,5383
62,3058.78,2955.69,0,103.089,0.0,0.0,0.0,0.0,428.904,0.0,3757
